"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","30","Lack of local education support","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","31","Public safety concern unrelated to clinical treatment need (care team and/or ministry of justice)","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","32","Highly bespoke housing and/or care arrangements not available in the community","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","30"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","33","No lawful support available in the community excluding social care","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","34","No social care support including social care funded placement","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","35","Delays to NHS-led assessments in the community","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","30"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","36","Hospital staff shortages","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","20"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","37","Delays to non-NHS led assessments in the community","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","50"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","98","Reason not known","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","UNKNOWN","UNKNOWN","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","95"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","A","Primary Health Care","MHS32a","Referrals starting in RP, aged 0 to 18","210"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","B","Self Referral","MHS32a","Referrals starting in RP, aged 0 to 18","50"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","C","Local Authority Services","MHS32a","Referrals starting in RP, aged 0 to 18","100"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","D","Employer","MHS32a","Referrals starting in RP, aged 0 to 18","*"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","E","Justice System","MHS32a","Referrals starting in RP, aged 0 to 18","25"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","F","Child Health","MHS32a","Referrals starting in RP, aged 0 to 18","20"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","G","Independent/Voluntary Sector","MHS32a","Referrals starting in RP, aged 0 to 18","*"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","H","Acute Secondary Care","MHS32a","Referrals starting in RP, aged 0 to 18","65"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","I","Transfer from another Mental Health Service","MHS32a","Referrals starting in RP, aged 0 to 18","*"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Invalid","Invalid","MHS32a","Referrals starting in RP, aged 0 to 18","*"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","J","Internal referrals  from Community Mental Health Team (within own NHS Trust)","MHS32a","Referrals starting in RP, aged 0 to 18","*"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","K","Internal referrals from Inpatient Service (within own NHS Trust)","MHS32a","Referrals starting in RP, aged 0 to 18","*"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","L","Transfer by graduation (within own NHS Trust)","MHS32a","Referrals starting in RP, aged 0 to 18","*"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M","Other","MHS32a","Referrals starting in RP, aged 0 to 18","35"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Missing","Missing","MHS32a","Referrals starting in RP, aged 0 to 18","*"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","N","Improving access to psychological therapies","MHS32a","Referrals starting in RP, aged 0 to 18","*"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","P","Internal","MHS32a","Referrals starting in RP, aged 0 to 18","145"
"01/09/2025","30/09/2025","Performance ","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Q","Drop-in Services","MHS32a","Referrals starting in RP, aged 0 to 18","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","1","Face to face","MHS30a","Attended contacts with perinatal MH team in Reporting Period","330"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","1","Face to face","MHS30e","Attended contacts in the RP, 0 to 18, by consultation medium","3120"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","1","Face to face","MHS30f","Attended contacts in the RP with community mental health services for adult and older adults with severe mental illness","9730"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","1","Face to face","MHS30h","Attended contacts in the RP by consultation medium","14930"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","1","Face to face","MHS61b","First attended contacts for referrals open in the RP, aged 0 to 18, by consultation medium","155"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","2","Telephone","MHS30a","Attended contacts with perinatal MH team in Reporting Period","70"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","2","Telephone","MHS30e","Attended contacts in the RP, 0 to 18, by consultation medium","1110"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","2","Telephone","MHS30f","Attended contacts in the RP with community mental health services for adult and older adults with severe mental illness","2925"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","2","Telephone","MHS30h","Attended contacts in the RP by consultation medium","4055"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","2","Telephone","MHS61b","First attended contacts for referrals open in the RP, aged 0 to 18, by consultation medium","95"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","4","Talk type for a person unable to speak","MHS30a","Attended contacts with perinatal MH team in Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","4","Talk type for a person unable to speak","MHS30e","Attended contacts in the RP, 0 to 18, by consultation medium","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","4","Talk type for a person unable to speak","MHS30f","Attended contacts in the RP with community mental health services for adult and older adults with severe mental illness","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","4","Talk type for a person unable to speak","MHS30h","Attended contacts in the RP by consultation medium","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","4","Talk type for a person unable to speak","MHS61b","First attended contacts for referrals open in the RP, aged 0 to 18, by consultation medium","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","5","Email","MHS30a","Attended contacts with perinatal MH team in Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","5","Email","MHS30e","Attended contacts in the RP, 0 to 18, by consultation medium","15"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","5","Email","MHS30f","Attended contacts in the RP with community mental health services for adult and older adults with severe mental illness","25"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","5","Email","MHS30h","Attended contacts in the RP by consultation medium","45"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","5","Email","MHS61b","First attended contacts for referrals open in the RP, aged 0 to 18, by consultation medium","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","9","Text Message (Asynchronous)","MHS30a","Attended contacts with perinatal MH team in Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","9","Text Message (Asynchronous)","MHS30e","Attended contacts in the RP, 0 to 18, by consultation medium","35"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","9","Text Message (Asynchronous)","MHS30f","Attended contacts in the RP with community mental health services for adult and older adults with severe mental illness","105"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","9","Text Message (Asynchronous)","MHS30h","Attended contacts in the RP by consultation medium","170"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","9","Text Message (Asynchronous)","MHS61b","First attended contacts for referrals open in the RP, aged 0 to 18, by consultation medium","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","10","Instant messaging (Synchronous)","MHS30a","Attended contacts with perinatal MH team in Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","10","Instant messaging (Synchronous)","MHS30e","Attended contacts in the RP, 0 to 18, by consultation medium","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","10","Instant messaging (Synchronous)","MHS30f","Attended contacts in the RP with community mental health services for adult and older adults with severe mental illness","*"
"01/09/2025","30/09/2025","Performance ","Provider; ConsMechanismMH","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","10","Instant messaging (Synchronous)","MHS30h","Attended contacts in the RP by consultation medium","*"
