"Reporting_Period","Status","Reporting_Level","Provider_Code","Provider_Name","DQ_Measure","DQ_Measure_Name","DQ_Result","DQ_Dataset_Metric_ID","Unit","Value"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM76","Intended Age Group (Mental Health)","Valid","3.76.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM01","NHS Number","Valid","3.1.1","Count","23855"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM35","Consultation Mechanism (Mental Health)","Other","3.35.2","Count","10020"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM12","Organisation Identifier (Of Commissioner) - Referral","Default","3.12.3","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM59","Organisation Identifier (code of specialised responsible commissioner) - Indirect Activity","Other","3.59.2","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM18","Service Or Team Type Referred To (Mental Health)","Missing","3.18.5","Count","5"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM20","Mental Health Act - episodes becoming inactive","Integrity","7.20","Count","5"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM34","Source of Referral","Valid","3.34.1","Count","28210"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM02","Postcode Of Usual Address","Missing","3.2.5","Count","15"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM65","Employment Status","Invalid","3.65.4","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM33","Ex-British armed forces indicator","Default","3.33.3","Count","25"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM75","Ward Setting Type (Mental Health)","Valid","3.75.1","Count","260"
