Organisation_Code,Sector,Number_Of_Beds,Effective_Snapshot_Date
RD1,General & Acute,490.141304,30/09/2020
RD3,General & Acute,499.043478,30/09/2020
RDY,General & Acute,0,30/09/2020
R0A,General & Acute,2018.755556,31/03/2019
RAE,General & Acute,614.244444,31/03/2019
RBL,General & Acute,765.444444,31/03/2019
RBN,General & Acute,683.577778,31/03/2019
RBQ,General & Acute,148.988889,31/03/2019
RBS,General & Acute,216.7,31/03/2019
RM1,Mental Illness,0,31/03/2019
RMY,Mental Illness,403.322222,31/03/2019
RNA,Mental Illness,0,31/03/2019
RNQ,Mental Illness,0,31/03/2019
RNS,Mental Illness,0,31/03/2019
RP1,Mental Illness,201,31/03/2019
RKB,Mental Illness,0,31/03/2019
RL1,Mental Illness,0,31/03/2019
RL4,Mental Illness,0,31/03/2019
RLQ,Mental Illness,0,31/03/2019
RLT,Mental Illness,0,31/03/2019
RLY,Mental Illness,173.911111,31/03/2019
RGR,Mental Illness,0,31/03/2019
RGT,Mental Illness,0,31/03/2019
RHA,Mental Illness,863.833333,31/03/2019
RJC,Mental Illness,0,31/03/2019
RJE,Mental Illness,0,31/03/2019
RK5,Mental Illness,0,31/03/2019
RDD,Mental Illness,0,31/03/2019
RDE,Mental Illness,0,31/03/2019
RFS,Mental Illness,0,31/03/2019
RGM,Mental Illness,0,31/03/2019
RGN,Mental Illness,0,31/03/2019
RGP,Mental Illness,0,31/03/2019
RAJ,Mental Illness,0,31/03/2019
RBK,Mental Illness,0,31/03/2019
RC1,Mental Illness,0,31/03/2019
RC9,Mental Illness,0,31/03/2019
RCX,Mental Illness,0,31/03/2019
RD8,Mental Illness,0,31/03/2019
RXR,Mental Illness,0,31/03/2019
RY6,Mental Illness,8,31/03/2019
TAD,Mental Illness,200,31/03/2019
TAH,Mental Illness,150,31/03/2019
R1A,Mental Illness,119.488889,31/03/2019
R1L,Mental Illness,573,31/03/2019
RXE,Mental Illness,294,31/03/2019
RXF,Mental Illness,0,31/03/2019
RXG,Mental Illness,427.7,31/03/2019
RXL,Mental Illness,0,31/03/2019
RXN,Mental Illness,0,31/03/2019
RXP,Mental Illness,0,31/03/2019
RWJ,Mental Illness,0,31/03/2019
RWW,Mental Illness,0,31/03/2019
RWY,Mental Illness,0,31/03/2019
RX3,Mental Illness,713.622222,31/03/2019
RX4,Mental Illness,594,31/03/2019
RXA,Mental Illness,276.366667,31/03/2019
RVW,Mental Illness,0,31/03/2019
RVY,Mental Illness,0,31/03/2019
RW4,Mental Illness,601,31/03/2019
RW5,Mental Illness,509.3,31/03/2019
RW6,Mental Illness,0,31/03/2019
RWA,Mental Illness,0,31/03/2019
RTD,Mental Illness,0,31/03/2019
RTF,Mental Illness,28,31/03/2019
RTR,Mental Illness,0,31/03/2019
RTV,Mental Illness,295.055556,31/03/2019
RTX,Mental Illness,0,31/03/2019
RV9,Mental Illness,183,31/03/2019
RP5,Mental Illness,0,31/03/2019
RQ6,Mental Illness,0,31/03/2019
RR7,Mental Illness,29.444444,31/03/2019
RR8,Mental Illness,0,31/03/2019
RRF,Mental Illness,0,31/03/2019
RT2,Mental Illness,511,31/03/2019
RLN,Mental Illness,0,31/03/2019
RM3,Mental Illness,0,31/03/2019
RMC,Mental Illness,0,31/03/2019
RMP,Mental Illness,0,31/03/2019
RNL,Mental Illness,0,31/03/2019
RNN,Mental Illness,135.855556,31/03/2019
